시도,시군구,읍면동,변전소,전력공급여유_2026,전력공급여유_2027,전력공급여유_2028,전력공급여유_2029,전력공급여유_2030,전력공급여유_2031,전력공급여유_2032,재생e_여유용량_MW,154kV_차단기_전체,154kV_차단기_사용중,154kV_차단기_사용예정,154kV_차단기_여유,345kV_차단기_전체,345kV_차단기_사용중,345kV_차단기_사용예정,345kV_차단기_여유
서울특별시,마포구,도화동,마포,0,0,0,0,0,0,0,0,7.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
서울특별시,마포구,도화동,마포,0,0,0,0,0,0,0,0,7.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
서울특별시,마포구,상암동,상암,0,0,0,0,0,0,0,0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,마포구,대흥동,신촌,0,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,마포구,대흥동,신촌,0,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,마포구,공덕동,아현,0,0,0,0,0,0,0,0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
서울특별시,마포구,공덕동,아현,0,0,0,0,0,0,0,0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
서울특별시,마포구,연남동,연대,0,0,0,0,0,0,145,0,8.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0
서울특별시,마포구,연남동,연대,0,0,0,0,0,0,145,0,8.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0
서울특별시,마포구,아현동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,마포구,아현동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,마포구,아현동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,마포구,아현동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,마포구,아현동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,마포구,아현동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,마포구,공항동,화곡,0,0,0,0,0,0,0,0,11.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0
서울특별시,마포구,공항동,화곡,0,0,0,0,0,0,0,0,11.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0
서울특별시,양천구,목동,목동,0,0,0,0,0,0,0,0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,양천구,목동,목동,0,0,0,0,0,0,0,0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,양천구,신정동,북과천(건설중),0,0,0,0,0,0,0,0,,,,,,,,
서울특별시,양천구,신정동,북과천(건설중),0,0,0,0,0,0,0,0,,,,,,,,
서울특별시,양천구,신정동,신정,0,0,0,0,0,0,0,0,8.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0
서울특별시,양천구,신월동,양천,0,0,0,0,0,0,0,0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
서울특별시,양천구,신월동,양천,0,0,0,0,0,0,0,0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
서울특별시,서울특별시강서구,마곡동,가양,0,0,0,0,0,0,0,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,서울특별시강서구,마곡동,가양,0,0,0,0,0,0,0,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,서울특별시강서구,마곡동,마곡,0,0,0,0,0,0,0,0,8.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0
서울특별시,서울특별시강서구,마곡동,마곡,0,0,0,0,0,0,0,0,8.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0
서울특별시,강서구,염창동,신부평,0,0,0,0,0,0,0,0,18.0,10.0,2.0,6.0,0.0,0.0,0.0,0.0
서울특별시,강서구,염창동,신부평,0,0,0,0,0,0,0,0,18.0,10.0,2.0,6.0,0.0,0.0,0.0,0.0
서울특별시,강서구,염창동,신부평,0,0,0,0,0,0,0,0,18.0,10.0,2.0,6.0,0.0,0.0,0.0,0.0
서울특별시,서울특별시강서구,내발산동,화곡,0,0,0,0,0,0,0,0,11.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0
서울특별시,서울특별시강서구,내발산동,화곡,0,0,0,0,0,0,0,0,11.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0
서울특별시,구로구,신도림동,구로,0,0,0,0,0,0,0,0,8.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0
서울특별시,구로구,가리봉동,구로#2(건설중),0,0,0,0,0,0,0,0,,,,,,,,
서울특별시,구로구,가리봉동,구로#2(건설중),0,0,0,0,0,0,0,0,,,,,,,,
서울특별시,구로구,신도림동,신광명,0,0,0,0,0,0,0,0,19.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0
서울특별시,구로구,신도림동,신광명,0,0,0,0,0,0,0,0,19.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0
서울특별시,구로구,신도림동,신광명,0,0,0,0,0,0,0,0,19.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0
서울특별시,구로구,신도림동,신광명,0,0,0,0,0,0,0,0,19.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0
서울특별시,구로구,신도림동,신광명,0,0,0,0,0,0,0,0,19.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0
